D,N,num_classes,x,y
76,177,4,7447212001478620670048633681332081,854253803304436437970375559900578
76,177,4,860882812882502228472653815270016192359,98750031146996376720672178293925204852
76,177,4,99516331396144280605503215067534698122983601,11415306099676233352851826028450790270580918
76,177,4,11503888875870603736552458426904222218350642116039,1319586554411623191975969008516182275404687754112
76,177,4,71,8
76,177,4,8134769,933122
76,177,4,940363026791,107867036948
76,177,4,108704085162851249,12469213736181782
76,177,4,12565974835714915655111,1441416169367274598688
76,177,4,1452601558950268734736670129,166624826334048995322953642
76,177,4,167917834998967190362374677917031,19261496673121979591975520509228
76,177,4,19410965888758007712559519283116279409,2226590492252929770539137224502784702
76,177,4,2243868834640730340557488119727300989204551,257389407704192678941661205286097385472568
76,177,4,259386749527388180019006503951677020466951407089,29753700749562674808045222238123148341355130962
76,177,4,-1639,-188
76,177,4,-189462001,-21732782
76,177,4,-21901428389959,-2512266133448
76,177,4,-2531761318833018481,-290412940472589122
76,177,4,-292666544912557841976679,-33571155090238091191508
76,177,4,-33831667256270100097987120561,-3880758385830929925083352662
76,177,4,-3910873071197644486214557320633799,-448607907851712682389547309830368
76,177,4,-452089105250473640061160297052638776241,-51858176927961524273035959996687527402
76,177,4,-52260596384833378772592363532476379935273319,-5994701536069888375062698221307537482786028
76,177,4,-6041220420441879814103658399566044270705086353521,-692975508114748779452536264713672757938411737342
76,177,4,72689,8338
76,177,4,8402702951,963856132
76,177,4,971335655657009,111419841138598
76,177,4,112284459114236223431,12879910794975795472
76,177,4,12979858903716143300519729,1488891927966192163833658
76,177,4,1500445729439494274139243409511,172112929076155970959867402012
76,177,4,173448525418766800198232116352132849,19895910373856586003052559773949518
76,177,4,20050302639858158839875741911934609669191,2299927447224960699704713833789148979752
76,177,4,2317774884388874920153189213337584892187008369,265867013024415096590608923755305483987422178
76,177,4,267930141065534860380010207843522396455099183770471,30733694969296408888456249668561089504188879952692
70,36,3,34,4
70,36,3,16934,2024
70,36,3,8500834,1016044
70,36,3,4267401734,510052064
70,36,3,2142227169634,256045120084
70,36,3,1075393771754534,128534140230104
70,36,3,539845531193606434,64523882350392124
70,36,3,271001381265418675334,32390860405756616144
70,36,3,136042153549708981411234,16260147399807470912164
70,36,3,68292890080572643249764134,8162561603842944641290184
70,36,3,134,16
70,36,3,67234,8036
70,36,3,33751334,4034056
70,36,3,16943102434,2025088076
70,36,3,8505403670534,1016590180096
70,36,3,4269695699505634,510326245320116
70,36,3,2143378735748157734,256182758560518136
70,36,3,1075971855649875676834,128603234471134784156
70,36,3,540135728157501841612934,64558567521751101128176
70,36,3,271147059563210274614016034,32408272292684581631560196
70,36,3,1506,180
70,36,3,756006,90360
70,36,3,379513506,45360540
70,36,3,190515024006,22770900720
70,36,3,95638162537506,11430946800900
70,36,3,48010167078804006,5738312523151080
70,36,3,24101008235397073506,2880621455675041260
70,36,3,12098658124002252096006,1446066232436347561440
70,36,3,6073502277240895155121506,725922368061590800801620
70,36,3,3048886044516805365618900006,364411582700686145654851800
33,-10,0,0,0
114,84,0,0,0
20,200,0,0,0
86,98,0,0,0
111,-119,0,0,0
52,-55,0,0,0
52,-168,0,0,0
15,136,2,-14,2
15,136,2,-26,-6
15,136,2,-194,-50
15,136,2,-1526,-394
15,136,2,-12014,-3102
15,136,2,-94586,-24422
15,136,2,-744674,-192274
15,136,2,-5862806,-1513770
15,136,2,-46157774,-11917886
15,136,2,-363399386,-93829318
15,136,2,14,2
15,136,2,86,22
15,136,2,674,174
15,136,2,5306,1370
15,136,2,41774,10786
15,136,2,328886,84918
15,136,2,2589314,668558
